,Price_Level,Date_Index
0,0.0,2016-01
1,0.0,2016-02
2,0.0,2016-03
3,0.0,2016-04
4,0.0,2016-05
5,0.0,2016-06
6,0.0,2016-07
7,0.0,2016-08
8,0.0,2016-09
9,0.0,2016-10
10,0.0,2016-11
11,0.0,2016-12
12,0.0,2017-01
13,0.0,2017-02
14,0.0,2017-03
15,2.71,2017-04
16,2.71,2017-05
17,2.71,2017-06
18,2.71,2017-07
19,2.71,2017-08
20,2.71,2017-09
21,1.355,2017-10
22,1.355,2017-11
23,1.355,2017-12
24,1.355,2018-01
25,1.355,2018-02
26,1.355,2018-03
27,1.355,2018-04
28,1.355,2018-05
29,1.355,2018-06
30,1.355,2018-07
31,1.355,2018-08
32,1.355,2018-09
33,1.355,2018-10
34,1.355,2018-11
35,1.355,2018-12
36,1.355,2019-01
37,1.355,2019-02
38,1.355,2019-03
39,1.355,2019-04
40,1.355,2019-05
41,1.355,2019-06
42,1.355,2019-07
43,1.355,2019-08
44,1.355,2019-09
45,1.355,2019-10
46,1.355,2019-11
47,1.355,2019-12
48,1.355,2020-01
49,1.355,2020-02
50,1.355,2020-03
51,1.355,2020-04
52,1.355,2020-05
53,1.355,2020-06
54,1.355,2020-07
55,1.355,2020-08
56,1.355,2020-09
57,1.355,2020-10
58,1.355,2020-11
59,1.355,2020-12
60,1.355,2021-01
61,1.355,2021-02
62,11.633666666666665,2021-03
63,11.633666666666665,2021-04
64,11.633666666666665,2021-05
65,11.633666666666665,2021-06
66,10.6755,2021-07
67,29.443169230769225,2021-08
68,78.89770938058824,2021-09
69,36.13333333333333,2021-10
70,36.13333333333333,2021-11
71,36.13333333333333,2021-12
72,36.13333333333333,2022-01
73,36.13333333333333,2022-02
74,36.13333333333333,2022-03
75,36.13333333333333,2022-04
76,36.13333333333333,2022-05
77,0.0,2016-01
78,0.0,2016-02
79,0.0,2016-03
80,0.0,2016-04
81,0.0,2016-05
82,0.0,2016-06
83,0.0,2016-07
84,0.0,2016-08
85,0.0,2016-09
86,0.0,2016-10
87,0.0,2016-11
88,0.0,2016-12
89,0.0,2017-01
90,1.626,2017-02
91,1.626,2017-03
92,1.626,2017-04
93,1.626,2017-05
94,1.626,2017-06
95,2.71,2017-07
96,2.71,2017-08
97,2.71,2017-09
98,2.71,2017-10
99,2.71,2017-11
100,2.71,2017-12
101,2.71,2018-01
102,2.71,2018-02
103,1.084,2018-03
104,1.084,2018-04
105,1.084,2018-05
106,1.084,2018-06
107,0.813,2018-07
108,0.813,2018-08
109,0.813,2018-09
110,0.813,2018-10
111,0.813,2018-11
112,0.813,2018-12
113,0.813,2019-01
