Name,x,points
,0.0,0.0
,0.2,0.07
,0.4,0.14
,0.6,0.21
,0.8,0.32
,1.0,1.0
,0.0,0.0
,0.2,0.15217391304347827
,0.4,0.30434782608695654
,0.6,0.45652173913043476
,0.8,0.6086956521739131
,1.0,1.0
,0.0,0.0
,0.2,0.1134020618556701
,0.4,0.2268041237113402
,0.6,0.3402061855670103
,0.8,0.4536082474226804
,1.0,1.0
,0.0,0.0
,0.2,0.08421052631578947
,0.4,0.16842105263157894
,0.6,0.25263157894736843
,0.8,0.3473684210526316
,1.0,1.0
,0.0,0.0
,0.2,0.10309278350515463
,0.4,0.20618556701030927
,0.6,0.30927835051546393
,0.8,0.41237113402061853
,1.0,1.0
