Name,gini
BATMANNPEPE,0.627
BREITBARTPEP,0.72
CAPEPELE,0.777
CHECKPEPE,0.751
CHERRYONTOP,0.59
CRIMINALPEPE,0.426
CYBERPEP,0.654
EATEPEPE,0.779
GAMABUNTA,0.766
GAMBITPEPE,0.623
GIANCARLO,0.757
GROYAPEPE,0.657
GUNSNPEPES,0.437
HUCKAPEPE,0.441
ILUMINATRARE,0.422
ITPEPE,0.664
JORDANPEPE,0.603
KEKKETY,0.834
MILLIONAIRPP,0.729
NBAPEPE,0.574
PEPEBUZZ,0.68
PEPECEZANNE,0.769
PEPEDINHO,0.564
PEPEDRINO,0.553
PEPEHUNDRED,0.909
PEPEJACKSON,0.526
PEPEJOCKER,0.896
PEPEMASK,0.757
PEPENEON,0.604
PEPEOLDONE,0.725
PEPETAR,0.586
PEPEUBU,0.406
PINCHAN,0.75
RARECARDDECK,0.634
RAREPEPENOTE,0.771
SAKURAPENPEN,0.076
SMALLRATPEPE,0.597
STONEPEPE,0.715
XENOPEPE,0.455
YODAPEPE,0.598
